title,published_dt,sources,sections,urls
CMS pauses weight-loss BALANCE model for Medicare,2026-04-21T16:50:33-05:00,Beckers Payer,payer,https://www.beckerspayer.com/uncategorized/cms-pauses-weight-loss-balance-model-indefinitely-for-medicare
UnitedHealthcare's 'deliberate trade-off' for margin recovery,2026-04-21T16:04:54-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/unitedhealthcares-deliberate-trade-off-for-margin-recovery
UnitedHealthcare eyes CMS' BALANCE GLP-1 model,2026-04-21T14:27:28-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage/unitedhealthcare-eyes-cms-balance-glp-1-model
"Dell gifts push UT Austin support past $1B, fund new medical campus",2026-04-21T17:00:58-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/dell-gifts-push-ut-austin-support-past-1b-fund-new-medical-campus
UnitedHealthcare's 'deliberate trade-off' for margin recovery,2026-04-21T16:06:19-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/unitedhealthcares-deliberate-trade-off-for-margin-recovery
UnitedHealth Group reports $6.2B+ Q1 profit: 7 notes,2026-04-21T10:13:13-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/unitedhealth-group-reports-6-2b-q1-profit-7-notes
How Tenet turned a hospital company into the nation's largest ASC operator: 7 things to know,2026-04-21T09:17:32-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/how-tenet-turned-a-hospital-company-into-the-nations-largest-asc-operator-7-things-to-know
"Integris prepares for clinic, service line closures amid funding concerns",2026-04-20T16:50:18-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/integris-prepares-for-clinic-service-line-closures-amid-funding-concerns
Endeavor cuts operating loss in 2025,2026-04-20T16:25:24-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/endeavor-cuts-operating-loss-in-2025
How Jefferson Health is coping with GLP-1 pressures in insurance coverage,2026-04-20T16:04:51-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/how-jefferson-health-is-coping-with-glp-1-pressures-in-insurance-coverage
Scripps CEO: Hospitals running out of ways to cut costs,2026-04-20T12:36:57-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/scripps-ceo-hospitals-running-out-of-ways-to-cut-costs
AHA urges HRSA to axe 340B model that would cost hospitals $1B+ a year,2026-04-20T12:14:16-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/aha-urges-hrsa-to-axe-340b-model-that-would-cost-hospitals-1b-a-year
Hospital telehealth adoption by state,2026-04-21T16:55:32-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/healthcare-information-technology/innovation/hospital-telehealth-adoption-by-state
10 providers seeking RCM talent,2026-04-20T10:29:29-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/revenue-cycle-management/10-providers-seeking-rcm-talent-43
Rural hospitals reimagine revenue,2026-04-20T09:34:11-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/rural-hospitals-reimagine-revenue
"Illinois hospital reopens services, recalls 80 furloughed workers",2026-04-20T09:09:19-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/illinois-hospital-reopens-services-recalls-80-furloughed-workers
"CHS grows ASC footprint across Alabama, Alaska: 6 things to know",2026-04-20T08:31:00-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/chs-grows-asc-footprint-across-alabama-alaska-6-things-to-know
